country,year,value
Brunei Darussalam,1990,117.03482250375
Brunei Darussalam,1991,108.34519655499999
Brunei Darussalam,1992,101.57274879833334
Brunei Darussalam,1993,94.64544437354168
Brunei Darussalam,1994,86.67732866208333
Brunei Darussalam,1995,81.884162065625
Brunei Darussalam,1996,77.64293560479167
Brunei Darussalam,1997,76.578595413125
Brunei Darussalam,1998,75.68893482
Brunei Darussalam,1999,75.33375711104166
Brunei Darussalam,2000,75.47640952354166
Brunei Darussalam,2001,73.78732302833333
Brunei Darussalam,2002,75.023515633125
Brunei Darussalam,2003,77.17654524666666
Brunei Darussalam,2004,77.67500906166667
Brunei Darussalam,2005,77.80725174104167
Brunei Darussalam,2006,77.02494209166666
Brunei Darussalam,2007,73.623845515625
Brunei Darussalam,2008,69.756087765625
Brunei Darussalam,2009,68.12459681520833
Brunei Darussalam,2010,68.48752453249999
Brunei Darussalam,2011,72.74674795729167
Brunei Darussalam,2012,82.04054778749999
Brunei Darussalam,2013,94.11682388333332
Brunei Darussalam,2014,103.93728387708335
Brunei Darussalam,2015,109.10860098770833
Brunei Darussalam,2016,101.81083983812499
Brunei Darussalam,2017,96.6335591175
Brunei Darussalam,2018,100.27267635666668
Brunei Darussalam,2019,109.80068296354166
Cambodia,1990,4126.638105922916
Cambodia,1991,4126.1483017375
Cambodia,1992,4142.497273247916
Cambodia,1993,4169.146554370834
Cambodia,1994,4190.435966633334
Cambodia,1995,4202.289261079167
Cambodia,1996,4189.952098295834
Cambodia,1997,4188.017219629167
Cambodia,1998,4205.926887339583
Cambodia,1999,4227.274137535417
Cambodia,2000,4220.738478202083
Cambodia,2001,4266.23008215625
Cambodia,2002,4380.451663341667
Cambodia,2003,4450.536196833334
Cambodia,2004,4512.1867901625
Cambodia,2005,4552.4484607125005
Cambodia,2006,4580.205552297916
Cambodia,2007,4667.80443095
Cambodia,2008,4750.180578495833
Cambodia,2009,4791.63380804375
Cambodia,2010,4820.842720535416
Cambodia,2011,4779.809312958333
Cambodia,2012,4782.996827952083
Cambodia,2013,4758.41666928125
Cambodia,2014,4777.499050345833
Cambodia,2015,4798.828751533333
Cambodia,2016,4776.01637728125
