Country,Age,Year,Value
Brunei Darussalam,15 to 64 years old,1990,76.05553383333333
Brunei Darussalam,15 to 64 years old,1991,72.7204021
Brunei Darussalam,15 to 64 years old,1992,69.877957725
Brunei Darussalam,15 to 64 years old,1993,65.9114071
Brunei Darussalam,15 to 64 years old,1994,62.43579736666666
Brunei Darussalam,15 to 64 years old,1995,59.93935615
Brunei Darussalam,15 to 64 years old,1996,57.166208350000005
Brunei Darussalam,15 to 64 years old,1997,53.535413758333334
Brunei Darussalam,15 to 64 years old,1998,51.143000699999995
Brunei Darussalam,15 to 64 years old,1999,49.17281886666667
Brunei Darussalam,15 to 64 years old,2000,48.04652549166667
Brunei Darussalam,15 to 64 years old,2001,48.64885631666667
Brunei Darussalam,15 to 64 years old,2002,50.61957099166667
Brunei Darussalam,15 to 64 years old,2003,52.91990851666666
Brunei Darussalam,15 to 64 years old,2004,54.502756925
Brunei Darussalam,15 to 64 years old,2005,56.23793441666666
Brunei Darussalam,15 to 64 years old,2006,57.435132
Brunei Darussalam,15 to 64 years old,2007,56.31858916666667
Brunei Darussalam,15 to 64 years old,2008,54.48196224166667
Brunei Darussalam,15 to 64 years old,2009,53.77683497499999
Brunei Darussalam,15 to 64 years old,2010,55.37138170833333
Brunei Darussalam,15 to 64 years old,2011,61.14888399166667
Brunei Darussalam,15 to 64 years old,2012,70.795137925
Brunei Darussalam,15 to 64 years old,2013,82.03743105
Brunei Darussalam,15 to 64 years old,2014,92.23659754166665
Brunei Darussalam,15 to 64 years old,2015,98.21685768333333
Brunei Darussalam,15 to 64 years old,2016,92.91127139999999
Brunei Darussalam,15 to 64 years old,2017,88.5138898
Brunei Darussalam,15 to 64 years old,2018,92.42644201666667
Brunei Darussalam,15 to 64 years old,2019,101.63234916666666
Brunei Darussalam,All,1990,146.07684634166665
Brunei Darussalam,All,1991,137.58287556666667
Brunei Darussalam,All,1992,130.80501404999998
Brunei Darussalam,All,1993,122.51674316666667
Brunei Darussalam,All,1994,114.18405428333334
Brunei Darussalam,All,1995,108.93598013333333
Brunei Darussalam,All,1996,103.49665779166668
Brunei Darussalam,All,1997,100.05854761666667
Brunei Darussalam,All,1998,97.57527614166666
Brunei Darussalam,All,1999,96.279971725
Brunei Darussalam,All,2000,96.0567623
Brunei Darussalam,All,2001,96.501784975
Brunei Darussalam,All,2002,100.16855376666666
Brunei Darussalam,All,2003,104.83261790833332
Brunei Darussalam,All,2004,107.135926375
Brunei Darussalam,All,2005,108.78318773333332
Brunei Darussalam,All,2006,109.54059214166666
Brunei Darussalam,All,2007,106.26803736666666
Brunei Darussalam,All,2008,101.85050560833334
Brunei Darussalam,All,2009,100.151784175
Brunei Darussalam,All,2010,101.91783715000001
Brunei Darussalam,All,2011,110.51387758333334
Brunei Darussalam,All,2012,126.15580419999999
Brunei Darussalam,All,2013,145.49129943333335
Brunei Darussalam,All,2014,161.88596954166667
Brunei Darussalam,All,2015,171.45205380833332
Brunei Darussalam,All,2016,162.41257913333334
Brunei Darussalam,All,2017,155.98095273333334
Brunei Darussalam,All,2018,163.64578984166667
Brunei Darussalam,All,2019,181.19353880000003
Brunei Darussalam,Less than 15 years old,1990,11.032806231666667
Brunei Darussalam,Less than 15 years old,1991,11.086038486666666
Brunei Darussalam,Less than 15 years old,1992,10.694267509999998
Brunei Darussalam,Less than 15 years old,1993,10.3078000275
Brunei Darussalam,Less than 15 years old,1994,9.891928656666666
Brunei Darussalam,Less than 15 years old,1995,9.415325970833335
Brunei Darussalam,Less than 15 years old,1996,9.152911402500001
Brunei Darussalam,Less than 15 years old,1997,9.180056577499998
Brunei Darussalam,Less than 15 years old,1998,9.300725596666666
Brunei Darussalam,Less than 15 years old,1999,9.651396594166666
Brunei Darussalam,Less than 15 years old,2000,10.258659985833335
Brunei Darussalam,Less than 15 years old,2001,10.45395203
Brunei Darussalam,Less than 15 years old,2002,10.8046461575
Brunei Darussalam,Less than 15 years old,2003,11.05086877
Brunei Darussalam,Less than 15 years old,2004,10.910660246666666
Brunei Darussalam,Less than 15 years old,2005,10.466601039166667
Brunei Darussalam,Less than 15 years old,2006,10.179751458333334
Brunei Darussalam,Less than 15 years old,2007,9.927990987500001
Brunei Darussalam,Less than 15 years old,2008,9.788477395833333
Brunei Darussalam,Less than 15 years old,2009,9.641063044166666
Brunei Darussalam,Less than 15 years old,2010,9.799718746666667
Brunei Darussalam,Less than 15 years old,2011,10.464678579166668
Brunei Darussalam,Less than 15 years old,2012,10.910664683333332
Brunei Darussalam,Less than 15 years old,2013,11.159214641666667
Brunei Darussalam,Less than 15 years old,2014,11.285783924999999
Brunei Darussalam,Less than 15 years old,2015,11.265700884166668
Brunei Darussalam,Less than 15 years old,2016,10.725857244166667
Brunei Darussalam,Less than 15 years old,2017,10.07218412
Brunei Darussalam,Less than 15 years old,2018,10.081304651666667
Brunei Darussalam,Less than 15 years old,2019,10.449021220833334
Brunei Darussalam,More than 64 years old,1990,234.9741036083333
Brunei Darussalam,More than 64 years old,1991,211.99147006666666
Brunei Darussalam,More than 64 years old,1992,194.91375590833331
Brunei Darussalam,More than 64 years old,1993,179.8458272
Brunei Darussalam,More than 64 years old,1994,160.19753434166668
Brunei Darussalam,More than 64 years old,1995,149.24598600833332
Brunei Darussalam,More than 64 years old,1996,140.755964875
Brunei Darussalam,More than 64 years old,1997,143.54036370000003
Brunei Darussalam,More than 64 years old,1998,144.73673684166667
Brunei Darussalam,More than 64 years old,1999,146.23084125833336
Brunei Darussalam,More than 64 years old,2000,147.54369031666667
Brunei Darussalam,More than 64 years old,2001,139.54469879166666
Brunei Darussalam,More than 64 years old,2002,138.5012916166667
Brunei Darussalam,More than 64 years old,2003,139.90278579166667
Brunei Darussalam,More than 64 years old,2004,138.1506927
Brunei Darussalam,More than 64 years old,2005,135.741283775
Brunei Darussalam,More than 64 years old,2006,130.94429276666668
Brunei Darussalam,More than 64 years old,2007,121.98076454166666
Brunei Darussalam,More than 64 years old,2008,112.90340581666665
Brunei Darussalam,More than 64 years old,2009,108.92870506666667
Brunei Darussalam,More than 64 years old,2010,106.861160525
Brunei Darussalam,More than 64 years old,2011,108.85955167499999
Brunei Darussalam,More than 64 years old,2012,120.30058434166666
Brunei Darussalam,More than 64 years old,2013,137.77935040833333
Brunei Darussalam,More than 64 years old,2014,150.3407845
Brunei Darussalam,More than 64 years old,2015,155.499791575
Brunei Darussalam,More than 64 years old,2016,141.193651575
Brunei Darussalam,More than 64 years old,2017,131.96720981666667
Brunei Darussalam,More than 64 years old,2018,134.93716891666665
Brunei Darussalam,More than 64 years old,2019,145.92782266666666
Cambodia,15 to 64 years old,1990,1076.6575715666665
Cambodia,15 to 64 years old,1991,1092.4232743416667
Cambodia,15 to 64 years old,1992,1120.1871423666666
Cambodia,15 to 64 years old,1993,1163.33448715
Cambodia,15 to 64 years old,1994,1209.6299707833334
Cambodia,15 to 64 years old,1995,1261.9361684166668
Cambodia,15 to 64 years old,1996,1311.6590430916667
Cambodia,15 to 64 years old,1997,1374.2902265166667
Cambodia,15 to 64 years old,1998,1459.1412275583334
Cambodia,15 to 64 years old,1999,1549.088881325
Cambodia,15 to 64 years old,2000,1633.639249158333
Cambodia,15 to 64 years old,2001,1738.192023675
Cambodia,15 to 64 years old,2002,1853.7795249333333
Cambodia,15 to 64 years old,2003,1981.892768208333
Cambodia,15 to 64 years old,2004,2124.1517094666665
Cambodia,15 to 64 years old,2005,2255.608229425
Cambodia,15 to 64 years old,2006,2382.818985725
Cambodia,15 to 64 years old,2007,2557.273735875
Cambodia,15 to 64 years old,2008,2733.8895188583333
Cambodia,15 to 64 years old,2009,2895.6674846666665
Cambodia,15 to 64 years old,2010,3044.1102852000004
Cambodia,15 to 64 years old,2011,3154.1528880083333
Cambodia,15 to 64 years old,2012,3257.6126026
Cambodia,15 to 64 years old,2013,3336.238823541667
Cambodia,15 to 64 years old,2014,3436.4459053749997
Cambodia,15 to 64 years old,2015,3550.2933803583333
Cambodia,15 to 64 years old,2016,3642.087011466667
Cambodia,15 to 64 years old,2017,3738.067043575
Cambodia,15 to 64 years old,2018,3943.197295041667
Cambodia,15 to 64 years old,2019,4255.382442425001
Cambodia,All,1990,8190.183940166667
Cambodia,All,1991,8189.682993916666
Cambodia,All,1992,8221.73208525
Cambodia,All,1993,8271.853784583333
Cambodia,All,1994,8314.0412595
Cambodia,All,1995,8336.207040916668
Cambodia,All,1996,8309.9762445
Cambodia,All,1997,8303.845527583333
Cambodia,All,1998,8336.471243000002
Cambodia,All,1999,8375.630898416666
Cambodia,All,2000,8359.549323916666
Cambodia,All,2001,8447.390296833333
Cambodia,All,2002,8672.080819166667
Cambodia,All,2003,8807.733242416667
Cambodia,All,2004,8925.492105333333
Cambodia,All,2005,9000.097563083333
Cambodia,All,2006,9049.97402125
Cambodia,All,2007,9218.21388275
Cambodia,All,2008,9375.222748666667
Cambodia,All,2009,9454.517978583333
Cambodia,All,2010,9508.700853583334
Cambodia,All,2011,9423.650250916666
Cambodia,All,2012,9428.180672583334
Cambodia,All,2013,9376.725488583334
Cambodia,All,2014,9412.661963166667
Cambodia,All,2015,9442.790028083333
Cambodia,All,2016,9395.719129583335
Cambodia,All,2017,9362.257618083333
Cambodia,All,2018,9637.140709083333
Cambodia,All,2019,10181.154574166667
Cambodia,Less than 15 years old,1990,6568.385101558334
Cambodia,Less than 15 years old,1991,6534.5790120833335
Cambodia,Less than 15 years old,1992,6516.247234841667
Cambodia,Less than 15 years old,1993,6495.68519915
Cambodia,Less than 15 years old,1994,6459.18657935
Cambodia,Less than 15 years old,1995,6392.563780333334
Cambodia,Less than 15 years old,1996,6278.995630325
Cambodia,Less than 15 years old,1997,6165.062365125
Cambodia,Less than 15 years old,1998,6060.763477558333
Cambodia,Less than 15 years old,1999,5951.8328771999995
Cambodia,Less than 15 years old,2000,5788.862840575
Cambodia,Less than 15 years old,2001,5701.027646083334
Cambodia,Less than 15 years old,2002,5725.920735016666
Cambodia,Less than 15 years old,2003,5638.2647725
Cambodia,Less than 15 years old,2004,5510.694615391666
Cambodia,Less than 15 years old,2005,5352.095211941666
Cambodia,Less than 15 years old,2006,5166.6615128
Cambodia,Less than 15 years old,2007,5036.07349625
Cambodia,Less than 15 years old,2008,4894.16888825
Cambodia,Less than 15 years old,2009,4689.641511666667
Cambodia,Less than 15 years old,2010,4489.33581515
Cambodia,Less than 15 years old,2011,4203.255234025
Cambodia,Less than 15 years old,2012,4026.237186025
Cambodia,Less than 15 years old,2013,3795.1301084666666
Cambodia,Less than 15 years old,2014,3651.9148322583333
Cambodia,Less than 15 years old,2015,3488.648483358333
Cambodia,Less than 15 years old,2016,3273.5070546583333
Cambodia,Less than 15 years old,2017,3055.0117434499994
Cambodia,Less than 15 years old,2018,2951.331003133333
