Country,Year,Risk,Value,Sex,Age
Brunei Darussalam,2014,Ambient Particulate Matter,13.88,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,10.508,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,0.27,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,0.75,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,42618.0,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,1.55,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,8.737,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,5.684397,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,483.0,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,99.104,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,24105.0,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,21.875,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,0.11,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,273.0,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,7.05,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,6.01726,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,6.69,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,0.04343221,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,0.28,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,1.935,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,1.68,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,21.08407,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,0.323,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,443.8571,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,10.23,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,0.3181871,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,156.3587,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,0.75,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,457.8573,Both,Less than 15 years old
Thailand,2014,Ambient Particulate Matter,0.11,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,1639.103,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,0.53,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,342.0,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,5.421,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,0.04,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,4.0,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,4.93,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,0.005795005,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,0.04,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,27.08725,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,0.42,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,1.561,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,17.605,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,11944.0,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,0.17,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,135.0,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,0.2375316,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,16.31,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,15.50021,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,0.81,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,0.38,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,4409.083,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,0.1,Both,Less than 15 years old
Singapore,2014,Ambient Particulate Matter,0.483,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,4644.63,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,1.109,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,4.985,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,0.93,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,352396.0,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,56.227,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,0.38,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,3974.0,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,17.29,Both,Less than 15 years old
Indonesia,2014,Ambient Particulate Matter,0.1746501,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,0.12,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,0.931,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,0.76,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,2070.0,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,0.76,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,1064.053,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,20.36,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,0.4893093,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,93.0,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,4.49219,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,5.402,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,1.0,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,0.12,Both,Less than 15 years old
Brunei Darussalam,2014,Ambient Particulate Matter,0.0218201,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,154.2634,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,0.514,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,5.434,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,1.17,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,1.76,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,12.411,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,2318.0,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,55.766,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,4.922,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,1.23,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,8.49,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,0.2947207,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,0.6,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,9.979031,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,0.16243,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,0.38,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,0.6,Both,Less than 15 years old
Timor-Leste,2014,Ambient Particulate Matter,26.0,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,183233.0,Both,Less than 15 years old
Myanmar,2014,Ambient Particulate Matter,140.207,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,2.482,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,3.84468,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,2024.0,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,0.53,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,61.78,Both,Less than 15 years old
Philippines,2014,Ambient Particulate Matter,178023.0,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,0.17,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,334.4714,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,11.2,Both,Less than 15 years old
Malaysia,2014,Ambient Particulate Matter,0.04681831,Both,Less than 15 years old
Cambodia,2014,Ambient Particulate Matter,97.71,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,39401.0,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,1.44,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,4.027,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,72.641,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,16236.0,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,4.88,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,3.765,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,199.244,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,441151.0,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,9749.0,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,3.95,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,5.19,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,9.016,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,401.51,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,0.4724314,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,3.24,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,2208.259,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,6.01726,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,7.05,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,10227.72,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,3.33,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,1.482156,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,101.78,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,12629.0,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,3.33,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,199.859,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,534036.0,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,3.51,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,8.452,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,4644.63,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,1.109,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,1.853224,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,183.42,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,0.323,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,443.8571,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,1.48,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,956.0,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,20.23,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,0.6291645,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,1.48,Both,15 to 64 years old
Cambodia,2014,Ambient Particulate Matter,309.1746,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,10.219,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,4.63,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,246.832,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,1746090.0,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,4.08,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,42174.0,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,46785.06,Both,15 to 64 years old
Indonesia,2014,Ambient Particulate Matter,4.08,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,0.38,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,0.3078405,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,16377.4,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,3.95,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,239.4,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,1.553555,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,1.68,Both,15 to 64 years old
Thailand,2014,Ambient Particulate Matter,21.08407,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,2.17,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,4.49219,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,15.0,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,1.68,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,3.24,Both,15 to 64 years old
Singapore,2014,Ambient Particulate Matter,313.0,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,2.482,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,3.84468,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,8.759,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,2.94,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,1.772174,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,73.74,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,4.95,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,9820.492,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,0.514,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,154.2634,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,15.50021,Both,15 to 64 years old
Philippines,2014,Ambient Particulate Matter,0.81,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,8.339,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,5.98,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,170785.0,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,193.171,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,4.95,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,3956.0,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,1.374643,Both,15 to 64 years old
Malaysia,2014,Ambient Particulate Matter,328.9,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,195.76,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,50.605,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,2.546,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,80.19614,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,5.402,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,3853.774,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,747.0,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,1.68,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,2.77,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,0.16243,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,305143.0,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,215.217,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,2.77,Both,15 to 64 years old
Myanmar,2014,Ambient Particulate Matter,7497.0,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,3.085,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,1.07,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,2018.0,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,76.87,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,1.15,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,50.0,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,16.25,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,0.5641878,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,1.15,Both,15 to 64 years old
Timor-Leste,2014,Ambient Particulate Matter,19.10299,Both,15 to 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,21.229,Both,More than 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,0.99,Both,More than 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,1.98,Both,More than 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,343.0,Both,More than 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,1082.53,Both,More than 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,5.402,Both,More than 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,94.48354,Both,More than 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,230.64,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,439.75,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,1.837912,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,4.35,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,11773.0,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,6.61,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,13130.1,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,115.79,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,2.782797,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,4.35,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,6051.477,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,154.2634,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,0.514,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,1.96,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,76.513,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,4418.276,Both,More than 64 years old
Myanmar,2014,Ambient Particulate Matter,203873.0,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,6.61,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,5289.0,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,3065.008,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,101500.0,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,58.817,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,3.55,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,2.482,Both,More than 64 years old
Malaysia,2014,Ambient Particulate Matter,3.84468,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,2.07765,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,205.63,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,52450.76,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,4.57,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,4644.63,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,1.109,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,64.226,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,2.3,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,4.57,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,47281.0,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,3494.994,Both,More than 64 years old
Indonesia,2014,Ambient Particulate Matter,868860.0,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,235761.0,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,2877.861,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,13057.0,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,3.44,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,1.55,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,51.964,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,0.81,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,15.50021,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,1.53242,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,105.24,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,10574.57,Both,More than 64 years old
Philippines,2014,Ambient Particulate Matter,3.44,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,2.37,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,1532.0,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,26276.0,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,2478.225,Both,More than 64 years old
Thailand,2014,Ambient Particulate Matter,412.73,Both,More than 64 years old
Thailand,2014,Ambient Particulate Matter,2.678399,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,0.96,Both,More than 64 years old
Cambodia,2014,Ambient Particulate Matter,42.494,Both,More than 64 years old
Thailand,2014,Ambient Particulate Matter,6.82,Both,More than 64 years old
Thailand,2014,Ambient Particulate Matter,28235.37,Both,More than 64 years old
Thailand,2014,Ambient Particulate Matter,21.08407,Both,More than 64 years old
