Year,Value,APM_Value
1990,54384030,7863939
1991,52470196,8041330
1992,50677915,8230524
1993,48923775,8438080
1994,47197747,8631617
1995,45586033,8824344
1996,43711554,9008518
1997,42066222,9114389
1998,41187202,9384897
1999,40045931,9788448
2000,38937725,10031215
2001,38076781,10263059
2002,37385848,10584814
2003,36611621,10865545
2004,35806967,11138227
2005,35373053,11424471
2006,34679040,11732058
2007,34141778,12095496
2008,33706107,12532506
2009,33312850,12881843
2010,32784517,13058712
2011,32038152,13152700
2012,31678146,13266489
2013,31213929,13346624
2014,30827306,13468467
2015,30635811,13640931
2016,30213124,13663399
2017,29693451,13734224
2018,29493785,14130669
2019,29551795,14827549
