Country,Year,Risk,Variable,Value,Unit,Sex,Age
Brunei Darussalam,1990,Ambient Particulate Matter,DALYs,274.0,Number,Both,More than 64 years old
Brunei Darussalam,1991,Ambient Particulate Matter,DALYs,254.0,Number,Both,More than 64 years old
Brunei Darussalam,1992,Ambient Particulate Matter,DALYs,238.0,Number,Both,More than 64 years old
Brunei Darussalam,1993,Ambient Particulate Matter,DALYs,226.0,Number,Both,More than 64 years old
Brunei Darussalam,1994,Ambient Particulate Matter,DALYs,207.0,Number,Both,More than 64 years old
Brunei Darussalam,1995,Ambient Particulate Matter,DALYs,197.0,Number,Both,More than 64 years old
Brunei Darussalam,1996,Ambient Particulate Matter,DALYs,187.0,Number,Both,More than 64 years old
Brunei Darussalam,1997,Ambient Particulate Matter,DALYs,191.0,Number,Both,More than 64 years old
Brunei Darussalam,1998,Ambient Particulate Matter,DALYs,194.0,Number,Both,More than 64 years old
Brunei Darussalam,1999,Ambient Particulate Matter,DALYs,197.0,Number,Both,More than 64 years old
Brunei Darussalam,2000,Ambient Particulate Matter,DALYs,200.0,Number,Both,More than 64 years old
Brunei Darussalam,2001,Ambient Particulate Matter,DALYs,200.0,Number,Both,More than 64 years old
Brunei Darussalam,2002,Ambient Particulate Matter,DALYs,207.0,Number,Both,More than 64 years old
Brunei Darussalam,2003,Ambient Particulate Matter,DALYs,217.0,Number,Both,More than 64 years old
Brunei Darussalam,2004,Ambient Particulate Matter,DALYs,224.0,Number,Both,More than 64 years old
Brunei Darussalam,2005,Ambient Particulate Matter,DALYs,230.0,Number,Both,More than 64 years old
Brunei Darussalam,2006,Ambient Particulate Matter,DALYs,228.0,Number,Both,More than 64 years old
Brunei Darussalam,2007,Ambient Particulate Matter,DALYs,220.0,Number,Both,More than 64 years old
Brunei Darussalam,2008,Ambient Particulate Matter,DALYs,210.0,Number,Both,More than 64 years old
Brunei Darussalam,2009,Ambient Particulate Matter,DALYs,209.0,Number,Both,More than 64 years old
Brunei Darussalam,2010,Ambient Particulate Matter,DALYs,210.0,Number,Both,More than 64 years old
Brunei Darussalam,2011,Ambient Particulate Matter,DALYs,221.0,Number,Both,More than 64 years old
Brunei Darussalam,2012,Ambient Particulate Matter,DALYs,253.0,Number,Both,More than 64 years old
Brunei Darussalam,2013,Ambient Particulate Matter,DALYs,302.0,Number,Both,More than 64 years old
Brunei Darussalam,2014,Ambient Particulate Matter,DALYs,343.0,Number,Both,More than 64 years old
Brunei Darussalam,2015,Ambient Particulate Matter,DALYs,369.0,Number,Both,More than 64 years old
Brunei Darussalam,2016,Ambient Particulate Matter,DALYs,357.0,Number,Both,More than 64 years old
Brunei Darussalam,2017,Ambient Particulate Matter,DALYs,352.0,Number,Both,More than 64 years old
Brunei Darussalam,2018,Ambient Particulate Matter,DALYs,377.0,Number,Both,More than 64 years old
Brunei Darussalam,2019,Ambient Particulate Matter,DALYs,426.0,Number,Both,More than 64 years old
Brunei Darussalam,1990,Ambient Particulate Matter,DALYs,502.0,Number,Both,15 to 64 years old
Brunei Darussalam,1991,Ambient Particulate Matter,DALYs,486.0,Number,Both,15 to 64 years old
Brunei Darussalam,1992,Ambient Particulate Matter,DALYs,471.0,Number,Both,15 to 64 years old
Brunei Darussalam,1993,Ambient Particulate Matter,DALYs,453.0,Number,Both,15 to 64 years old
Brunei Darussalam,1994,Ambient Particulate Matter,DALYs,435.0,Number,Both,15 to 64 years old
Brunei Darussalam,1995,Ambient Particulate Matter,DALYs,421.0,Number,Both,15 to 64 years old
Brunei Darussalam,1996,Ambient Particulate Matter,DALYs,407.0,Number,Both,15 to 64 years old
Brunei Darussalam,1997,Ambient Particulate Matter,DALYs,388.0,Number,Both,15 to 64 years old
Brunei Darussalam,1998,Ambient Particulate Matter,DALYs,376.0,Number,Both,15 to 64 years old
Brunei Darussalam,1999,Ambient Particulate Matter,DALYs,364.0,Number,Both,15 to 64 years old
Brunei Darussalam,2000,Ambient Particulate Matter,DALYs,357.0,Number,Both,15 to 64 years old
Brunei Darussalam,2001,Ambient Particulate Matter,DALYs,364.0,Number,Both,15 to 64 years old
