Country,Year,Value,Age
Brunei Darussalam,1990,274,More than 64 years old
Brunei Darussalam,1991,254,More than 64 years old
Brunei Darussalam,1992,238,More than 64 years old
Brunei Darussalam,1993,226,More than 64 years old
Brunei Darussalam,1994,207,More than 64 years old
Brunei Darussalam,1995,197,More than 64 years old
Brunei Darussalam,1996,187,More than 64 years old
Brunei Darussalam,1997,191,More than 64 years old
Brunei Darussalam,1998,194,More than 64 years old
Brunei Darussalam,1999,197,More than 64 years old
Brunei Darussalam,2000,200,More than 64 years old
Brunei Darussalam,2001,200,More than 64 years old
Brunei Darussalam,2002,207,More than 64 years old
Brunei Darussalam,2003,217,More than 64 years old
Brunei Darussalam,2004,224,More than 64 years old
Brunei Darussalam,2005,230,More than 64 years old
Brunei Darussalam,2006,228,More than 64 years old
Brunei Darussalam,2007,220,More than 64 years old
Brunei Darussalam,2008,210,More than 64 years old
Brunei Darussalam,2009,209,More than 64 years old
Brunei Darussalam,2010,210,More than 64 years old
Brunei Darussalam,2011,221,More than 64 years old
Brunei Darussalam,2012,253,More than 64 years old
Brunei Darussalam,2013,302,More than 64 years old
Brunei Darussalam,2014,343,More than 64 years old
Brunei Darussalam,2015,369,More than 64 years old
Brunei Darussalam,2016,357,More than 64 years old
Brunei Darussalam,2017,352,More than 64 years old
Brunei Darussalam,2018,377,More than 64 years old
Brunei Darussalam,2019,426,More than 64 years old
Brunei Darussalam,1990,502,15 to 64 years old
Brunei Darussalam,1991,486,15 to 64 years old
Brunei Darussalam,1992,471,15 to 64 years old
Brunei Darussalam,1993,453,15 to 64 years old
Brunei Darussalam,1994,435,15 to 64 years old
Brunei Darussalam,1995,421,15 to 64 years old
Brunei Darussalam,1996,407,15 to 64 years old
Brunei Darussalam,1997,388,15 to 64 years old
Brunei Darussalam,1998,376,15 to 64 years old
Brunei Darussalam,1999,364,15 to 64 years old
Brunei Darussalam,2000,357,15 to 64 years old
Brunei Darussalam,2001,364,15 to 64 years old
Brunei Darussalam,2002,380,15 to 64 years old
Brunei Darussalam,2003,400,15 to 64 years old
Brunei Darussalam,2004,416,15 to 64 years old
Brunei Darussalam,2005,432,15 to 64 years old
Brunei Darussalam,2006,440,15 to 64 years old
Brunei Darussalam,2007,435,15 to 64 years old
